             mu          sigma          Media         Errore
           0.95            0.5       -0.20037     0.00171429
           0.95           0.55      -0.313029     0.00139803
           0.95            0.6      -0.351601     0.00136911
           0.95           0.65       -0.33519     0.00215049
           0.95            0.7      -0.278463     0.00238649
           0.95           0.75      -0.197114     0.00364503
           0.95            0.8     -0.0870355     0.00415902
           0.95           0.85      0.0497251     0.00567687
           0.95            0.9       0.177543     0.00770938
           0.95           0.95       0.335748     0.00794436
           0.95              1       0.526158      0.0103294
           0.95           1.05       0.731066     0.00925473
           0.95            1.1       0.936771      0.0137377
           0.95           1.15         1.1556      0.0145451
              1           0.05        98.8206       0.231423
              1            0.1        23.4728      0.0690406
              1           0.15        9.69555      0.0342394
              1            0.2        4.82019      0.0192815
              1           0.25        2.61531     0.00963391
              1            0.3        1.43676     0.00732964
              1           0.35       0.760474     0.00416227
              1           0.45      0.0400869     0.00268176
              1            0.5      -0.147191     0.00144971
              1           0.55      -0.248165     0.00112281
              1            0.6      -0.277972     0.00150834
              1           0.65      -0.249682     0.00247252
              1            0.7      -0.187781     0.00363938
              1           0.75     -0.0923174     0.00393176
              1            0.8      0.0287764     0.00493795
              1           0.85       0.170481     0.00597096
              1            0.9       0.335823     0.00692512
              1           0.95       0.499934     0.00838451
              1              1       0.698311       0.011403
              1           1.05       0.922121       0.012215
              1            1.1        1.14846      0.0151965
              1           1.15        1.42142      0.0154433
           1.05           0.05        98.4443       0.239489
           1.05            0.1        23.3308      0.0653415
           1.05           0.15        9.61833      0.0325918
           1.05            0.2         4.7633      0.0166504
           1.05           0.25        2.60071      0.0102671
           1.05            0.3        1.42389     0.00833304
           1.05           0.45      0.0919453     0.00224696
           1.05            0.5      -0.078512     0.00156774
           1.05           0.55      -0.162352     0.00165378
           1.05            0.6      -0.180157     0.00205858
           1.05           0.65      -0.152651     0.00295467
           1.05            0.7     -0.0679898     0.00348571
           1.05           0.75      0.0417838     0.00432154
           1.05            0.8       0.187273     0.00587475
           1.05           0.85       0.348913     0.00790917
           1.05            0.9        0.52717      0.0085633
           1.05           0.95       0.725668      0.0110018
           1.05              1       0.950863      0.0115466
           1.05           1.05        1.18934       0.013699
           1.05            1.1        1.45217       0.015809
           1.05           1.15        1.68296        0.01781
            1.1           0.05        97.7812       0.278344
            1.1            0.1         23.417      0.0689601
            1.1           0.15        9.64288      0.0336881
            1.1            0.2        4.80328      0.0161243
            1.1           0.25         2.5961      0.0103499
            1.1            0.3        1.43957     0.00704998
            1.1           0.35       0.787556     0.00471946
            1.1           0.45       0.148045     0.00242641
            1.1            0.5      0.0126622     0.00192758
            1.1           0.55     -0.0556225      0.0019539
            1.1            0.6     -0.0602424     0.00253411
            1.1           0.65    -0.00870381     0.00313396
            1.1            0.7      0.0776661     0.00431111
            1.1           0.75       0.217311     0.00552008
            1.1            0.8       0.370011     0.00734518
            1.1           0.85       0.551919     0.00847011
            1.1            0.9       0.762155      0.0108538
            1.1           0.95        0.96977      0.0107248
            1.1              1        1.21404      0.0137338
            1.1           1.05        1.47331      0.0168024
            1.1            1.1        1.73876      0.0172256
            1.1           1.15        2.09402      0.0185404
           1.15           0.05        98.8709       0.274626
           1.15            0.1         23.356      0.0698849
           1.15           0.15        9.66162       0.031882
           1.15            0.2        4.78057      0.0158298
           1.15           0.25        2.62477      0.0106666
           1.15            0.3        1.48175     0.00716332
           1.15           0.35       0.833267     0.00437065
           1.15            0.5       0.117554     0.00208202
           1.15           0.55      0.0713209     0.00245559
           1.15            0.6      0.0948909     0.00371261
           1.15           0.65       0.161764     0.00456261
           1.15            0.7        0.27015     0.00488884
           1.15           0.75       0.413787       0.006366
           1.15            0.8       0.585807     0.00725778
           1.15           0.85       0.780091     0.00879067
           1.15            0.9        1.02257      0.0116173
